ID Produto;Nome;Referência;Qtd Inicial;Qtd Atual;Variação Qtd;Valor Inicial;Valor Atual;Variação Valor;Total Movimentações;Data Cálculo
3262;ROLO DE CARGA DO TAMBOR FT5840 KT;70016230;1.000;1.000;0.000;11.84;11.84;0.00;0;01/03/2025
3264;EMBREAGEM;AX200109;1.000;1.000;0.000;60.00;60.00;0.00;0;01/03/2025
3267;CALCO DE FRICÇAO-1302/416;B0442710;14.000;14.000;0.000;92.79;92.79;0.00;0;01/03/2025
3270;ROLO DE PRESSAO RCAFICIO 1015 KT;70022556;1.000;1.000;0.000;55.58;55.58;0.00;0;01/03/2025
3287;ENGRENAGEM DA PLACA -5450;C2322022;1.000;1.000;0.000;2.66;2.66;0.00;0;01/03/2025
3288;ESTABILIZADOR SOL 1000UP AUT/115V NET PT NN;1000UP;67.000;67.000;0.000;25420.40;25420.40;0.00;0;01/03/2025
3308;SENSOR DE DETECÇÃO DE MASTER 5455;C2395829;2.000;2.000;0.000;85.26;85.26;0.00;0;01/03/2025
3310;MOLA DA UNHA DE SEPARAÇÃO 1502/1312.;AA066637;215.000;215.000;0.000;1247.43;1247.43;0.00;0;01/03/2025
3321;CARTUCHO DE TONER TYPE 1170D DSM415 MR RICOH.;841718;195.000;195.000;0.000;16814.42;16814.42;0.00;0;01/03/2025
3322;TONER DSM 515 PFD (UNIDADE DE TONER);21161;2.000;2.000;0.000;422.85;422.85;0.00;0;01/03/2025
3327;ROLO DE REVERSÃO SUPERIOR 5327/5329L;C2244063;1.000;1.000;0.000;50.89;50.89;0.00;0;01/03/2025
3331;COP.DSM516 S/N.K2558800175 USADA-SHOW ROOM;K2558800175;1.000;1.000;0.000;1317.83;1317.83;0.00;0;01/03/2025
3333;SUPORTE DO ROLO DE FUSÃO;B0394101;1.000;1.000;0.000;61.85;61.85;0.00;0;01/03/2025
3336;BUCHA DO ROLO DE PRESSÃO 1302.;AE031035;10.000;10.000;0.000;116.52;116.52;0.00;0;01/03/2025
3343;ROLETE DE ALIMENTACAO DO PAPEL 5430.;C2382835;1.000;1.000;0.000;48.49;48.49;0.00;0;01/03/2025
3348;REVELADOR T7/DD2 3265(1KGXG);22651;1.000;1.000;0.000;243.34;243.34;0.00;0;01/03/2025
3357;LAMINA DE LIMPEZA CORREIA TRANSFERENCIA AFICIO 450;70018035;1.000;1.000;0.000;35.44;35.44;0.00;0;01/03/2025
3360;ROLO FUSOR P/ 2713Z;AE011033;4.000;4.000;0.000;415.92;415.92;0.00;0;01/03/2025
3362;COP.2713Z USADA S/AM87880020;AM87880020;3.000;3.000;0.000;2400.00;2400.00;0.00;0;01/03/2025
3382;TONER 3265/650;21651;3.000;3.000;0.000;682.26;682.26;0.00;0;01/03/2025
3389;ROLO FUSOR P/AF450  KT;70025793;1.000;1.000;0.000;71.15;71.15;0.00;0;01/03/2025
3391;CORREIA DE TRANSFERENCIA-3265/3285/3370/6002;A2933899;2.000;2.000;0.000;463.09;463.09;0.00;0;01/03/2025
3396;TERMOSTATO 1502;B0394120;2.000;2.000;0.000;43.24;43.24;0.00;0;01/03/2025
3397;TERMOFUSIVEL 1502;B0395504;3.000;3.000;0.000;20.04;20.04;0.00;0;01/03/2025
3407;LAMPDA FUSORA 3113;70023714;1.000;1.000;0.000;51.30;51.30;0.00;0;01/03/2025
3410;TONER PRETO AFICIO 2015/615 KT;70025030;25.000;25.000;0.000;1161.79;1161.79;0.00;0;01/03/2025
3419;LAMINA DE LIMPEZA DA CORREIA TRANSFERENCIA 3265;AD041049;1.000;1.000;0.000;56.93;56.93;0.00;0;01/03/2025
3420;ROLO FUSOR 3265/3270;AE011044;1.000;1.000;0.000;129.76;129.76;0.00;0;01/03/2025
3421;GRAMPEADOR 3222;AJ011012;1.000;1.000;0.000;598.94;598.94;0.00;0;01/03/2025
3430;COPIADORA MULTIFUNCIONAL SCX4216 SANSUNG;SCX4216;1.000;1.000;0.000;955.45;955.45;0.00;0;01/03/2025
3443;ROLAMENTO 30 X 42 X 7;G0524618;5.000;5.000;0.000;205.74;205.74;0.00;0;01/03/2025
3464;TELA DE TETRON 6123 RICOH.;C2522341;2.000;2.000;0.000;573.07;573.07;0.00;0;01/03/2025
3474;ENGRENAGEM AUXILIAR 5450;C2291130;1.000;1.000;0.000;13.57;13.57;0.00;0;01/03/2025
