codigo;referencia;nome;grupo;estoque_31_12_2024;estoque_atual;diferenca_quantidade;preco_custo;valor_total_31_12_2024;valor_total_atual;diferenca_valor;movimentacoes_revertidas;saldos_redefinidos
4551;M9485700011;MQ COPI MR RICOH MOD.AFICIO MP8000-CENTEC;MAQUINAS USADAS;1,0;1,0;0,0;8400,0;8400,0;8400,0;0,0;0;0
4552;AB012072;ENGRENAGEM MPC305.;PEÇAS;2,0;2,0;0,0;28,15;56,3;56,3;0,0;0;0
4554;D1173302;SUPORTE DO TONER PRETO MPC305;PEÇAS;1,0;1,0;0,0;113,45;113,45;113,45;0,0;0;0
4557;S9028900095;SIST.MULT MONO SHINKA SP5200S RICOH-CENTEC;COPIADORAS;1,0;1,0;0,0;4348,91;4348,91;4348,91;0,0;0;0
4558;S9028800930;SIST.MULT MONO SHINKA SP5200S;LOCACAO;1,0;1,0;0,0;4348,91;4348,91;4348,91;0,0;0;0
4559;S9028600041;SIST.MULT MONO SHINKA SP5200S;COPIADORAS;1,0;1,0;0,0;4348,91;4348,91;4348,91;0,0;0;0
4560;T333Q500915;COPIADORA MULTIF 3510 RICOH-CART CAVALCANTE;COPIADORAS;1,0;1,0;0,0;641,23;641,23;641,23;0,0;0;0
4561;T333Q500485;COPIADORA MULTIF 3510 RICOH;MAQUINAS USADAS;1,0;1,0;0,0;712,48;712,48;712,48;0,0;0;0
4562;M1175453;PLACA ECB SP3510F;PEÇAS;0,0;0,0;0,0;339,24;0,0;0,0;0,0;0;0
4563;D0395178;PLACA RFID - MPC2050;PEÇAS;1,0;1,0;0,0;261,26;261,26;261,26;0,0;0;0
4564;AB012068;ENGRENAGEM - MPC2051;PEÇAS;4,0;4,0;0,0;11,87;47,48;47,48;0,0;0;0
4565;T333Q500907;COPIADORA MULTIFUNCIONAL 3510;LOCACAO;1,0;1,0;0,0;712,48;712,48;712,48;0,0;0;0
4566;AB012080;ENGRENAGEM DE FUSAO MP301;PEÇAS;5,0;5,0;0,0;27,28;136,4;136,4;0,0;0;0
4567;B0392295;BRACO PRESSAO TRAS.ROLO CARGA 1502;PEÇAS;1,0;1,0;0,0;6,66;6,66;6,66;0,0;0;0
4568;C2384365;UNHA DE SEPARACAO - 5430;PEÇAS;0,0;0,0;0,0;14,93;0,0;0,0;0,0;0;0
4569;C2492472;SENSOR DE ENTINTAMENTO - 6244;PEÇAS;1,0;1,0;0,0;8,34;8,34;8,34;0,0;0;0
457;AD036021;COBERTURA;PEÇAS;0,0;0,0;0,0;11,87;0,0;0,0;0,0;0;0
4570;C2643489;CONJUNTO DE EJECAO MASTER C264;PEÇAS;1,0;1,0;0,0;493,01;493,01;493,01;0,0;0;0
4571;C2722581;TELA DE METAL - 4542/C264;PEÇAS;1,0;1,0;0,0;1054,57;1054,57;1054,57;0,0;0;0
4573;CLRCSP5200;CILINDRO R. SP5200/5210 S ENGRENAGENS;SUPRIMENTOS;0,0;0,0;0,0;26,28;0,0;0,0;0,0;0;0
4574;B3867102;REGUA DO VIDRO EXPOSICAO-DSM620D/DF79/2212;PEÇAS;3,0;3,0;0,0;20,06;60,18;60,18;0,0;0;0
