codigo,referencia,nome,estoque_31_12_2024,estoque_atual,diferenca_quantidade,preco_custo,valor_total_31_12_2024,valor_total_atual,diferenca_valor,movimentacoes_revertidas,saldos_redefinidos
6188,00236B,CARTUCHO DE TONER COMPATÍVEL RICOH SP 5200,1.0,1.0,0.0,339.16,339.16,339.16,0.0,0,0
6189,00703B,CORREIA DA FUSÃO COMPATÍVEL P/ USO EM MINOLTA C364,0.0,0.0,0.0,449.0,0.0,0.0,0.0,0,0
619,AA043004,CORREIA INVERSORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6190,00710B,ROLO DE PRESSÃO COMPATÍVEL P/ USO EM MINOLTA C364,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0,0
6191,M0ES5500,PLACA PRINCIPAL,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0,0
6193,MX4508685,XEROX WORKCENTRE 7845 USADA E RECONDICIONADA,0.0,0.0,0.0,4737.88,0.0,0.0,0.0,0,0
6195,019375,HD P/ NOTE 0500GB S II TOSHIBA,0.0,0.0,0.0,389.9,0.0,0.0,0.0,0,0
6196,200143062,XEROX PHASER 7800 ENGRENAGEM DO PIPE DISPENSE,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0,0
6197,675K85030,XEROX PHASER 7800 REVELADOR - PRETO,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0,0
6199,02241B,LAMINA DE LIMP CORREIA TRANSF COMPAT XEROX WC7845,1.0,0.0,-1.0,39.0,39.0,0.0,-39.0,1,0
62,C2292517,ANEL DE RETENCAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
620,52013882,CORREIA INVERSORA 4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6200,02217B,UNIDADE DE CILINDRO COMPATÍVEL RICOH MPC3504 M/Y/C,1.0,1.0,0.0,1739.0,1739.0,1739.0,0.0,0,0
6201,02252B,REVELADOR COMPATÍVEL XEROX VERSALINK C8030 AMARELO,1.0,1.0,0.0,198.0,198.0,198.0,0.0,2,0
6202,02250B,REVELADOR COMPATÍVEL XEROX VERSALINK C8030 CIANO,1.0,1.0,0.0,198.0,198.0,198.0,0.0,2,0
6203,02251B,REVELADOR COMPATÍVEL XEROX VERSALINK C8030 MARGENT,1.0,1.0,0.0,198.0,198.0,198.0,0.0,2,0
6204,02249B,REVELADOR COMPATÍVEL XEROX VERSALINK C8030 PRETO,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0,0
6205,036504,HD P NOTE 0500GB S II SEAGATE,-1.0,0.0,1.0,389.9,-389.9,0.0,389.9,1,0
6208,D2394041,SUB-UNIDADE ROLO FUSOR MPC2004,0.0,0.0,0.0,2381.46,0.0,0.0,0.0,0,0
6209,9HB330247,XEROX VERSALINK B405 USADA E RECONDICIONADA,0.0,0.0,0.0,3228.06,0.0,0.0,0.0,0,0
621,AA043384,CORREIA INVERSORA P/2613Z/2713,2.0,2.0,0.0,10.96,21.92,21.92,0.0,0,0
6210,TL5120XEV,CART TONER OEM PANTUM BP5100DW BM5100ADW,8.0,2.0,-6.0,166.0,1328.0,332.0,-996.0,8,0
6211,BM5100ADW,MULTIF PANTUM BM5100ADW LASER MONO,0.0,0.0,0.0,2082.0,0.0,0.0,0.0,0,0
6212,DL5120,UNID IMAGEM OEM PANTUM BP5100DW BM5100AD,1.0,0.0,-1.0,206.9,206.9,0.0,-206.9,1,0
